University,City,Cost,Subjects,Country,IELTS Score
Harvard,Boston,18282,"Mathematics, Robotics, Engineering",USA,7.0
Duke,Palo Alto,12468,"Robotics, Engineering, Physics",USA,7.0
Columbia,Philadelphia,14665,"Engineering, Mathematics, Economics, Law",USA,7.0
Princeton,Los Angeles,12200,"Robotics, AI, Law, Economics",USA,8.0
University of Sydney,Hobart,19597,"Economics, Law",Australia,6.5
University of Western Australia,Gold Coast,18033,"Mathematics, Economics, Biology, Robotics",Australia,6.0
University of Queensland,Canberra,16666,"Biology, Business",Australia,7.0
University of Waterloo,Vancouver,18121,"Business, Physics",Canada,6.0
Princeton,Chicago,19419,"Computer Science, Biology, Economics",USA,6.0
Cambridge,Liverpool,12451,"AI, Robotics",UK,7.0
University of Queensland,Adelaide,11282,"Economics, Mathematics",Australia,6.0
University of Bristol,Liverpool,19550,"Economics, Business",UK,8.0
University of Adelaide,Brisbane,11741,"Physics, Engineering, Mathematics, Business",Australia,8.0
Oxford,Durham,13339,"Robotics, Biology",UK,6.5
University of Waterloo,Vancouver,18945,"Computer Science, Engineering, Economics",Canada,8.0
University of Glasgow,London,11277,"Law, Mathematics, Physics",UK,6.5
University of Western Australia,Adelaide,15417,"Robotics, Business, Law, Mathematics",Australia,7.0
University of Ottawa,Edmonton,15922,"Economics, Law, AI",Canada,7.5
Monash University,Gold Coast,11883,"Robotics, Mathematics, Business, Law",Australia,7.0
University of Glasgow,Glasgow,16586,"Biology, Physics, Law",UK,7.0
Imperial College London,Oxford,18026,"Computer Science, Law",UK,8.0
University of Ottawa,Montreal,16217,"Law, Physics",Canada,8.0
RMIT University,Brisbane,19160,"AI, Robotics",Australia,6.5
University of Chicago,New York,18017,"Biology, Robotics",USA,6.0
Cambridge,Liverpool,18043,"Business, Robotics, Mathematics, Engineering",UK,8.0
Caltech,Los Angeles,19583,"Law, AI, Economics, Mathematics",USA,6.5
York University,Toronto,16764,"Physics, Law",Canada,6.0
Yale,Princeton,19951,"Physics, Law",USA,7.0
University of Manchester,Durham,14315,"AI, Biology",UK,7.5
McGill University,Quebec City,13133,"Computer Science, Mathematics, Engineering",Canada,6.0
Queen's University,Victoria,18780,"Engineering, Mathematics, Physics",Canada,8.0
Harvard,New York,16866,"Business, Economics, Biology, Law",USA,7.0
Harvard,San Francisco,14966,"Economics, Robotics, Mathematics",USA,7.5
Stanford,Los Angeles,17565,"Business, Engineering, Robotics",USA,8.0
UNSW,Melbourne,11607,"Engineering, Law, Biology",Australia,7.5
University of Waterloo,Toronto,15187,"Business, Economics, Physics, Robotics",Canada,7.5
University of Manchester,Manchester,17385,"Robotics, Economics, Biology, Mathematics",UK,8.0
Columbia,Durham,18112,"Mathematics, Engineering, Robotics",USA,8.0
University of Technology Sydney,Canberra,13271,"Economics, Law, Mathematics",Australia,7.0
McGill University,Calgary,15431,"Business, AI, Mathematics",Canada,6.0
University of Adelaide,Wollongong,11786,"Law, AI",Australia,7.5
University of Queensland,Darwin,12915,"Economics, AI, Robotics, Biology",Australia,7.5
Queen's University,Vancouver,17861,"Biology, Computer Science, Engineering",Canada,6.0
McMaster University,Montreal,13182,"Business, Physics",Canada,6.5
King's College London,Glasgow,14128,"AI, Mathematics, Biology",UK,8.0
University of Western Australia,Sydney,13910,"Computer Science, Physics",Australia,7.0
University of Bristol,Glasgow,10246,"Computer Science, Robotics",UK,8.0
Oxford,Oxford,16072,"Mathematics, AI, Biology, Engineering",UK,8.0
Columbia,Palo Alto,18826,"Mathematics, Physics, Law, Business",USA,8.0
Cambridge,Oxford,18146,"Computer Science, Law, Biology, AI",UK,6.0
Caltech,Boston,14178,"Business, Economics, Robotics",USA,7.0
University of Sydney,Perth,15109,"Law, Physics, Biology, Mathematics",Australia,6.0
University of Melbourne,Canberra,16329,"AI, Robotics",Australia,7.0
University of Technology Sydney,Hobart,16235,"Business, Economics",Australia,6.5
RMIT University,Wollongong,14387,"AI, Law, Engineering",Australia,7.5
UBC,Victoria,18594,"Robotics, Biology",Canada,8.0
University of Alberta,Winnipeg,16269,"AI, Engineering, Law, Physics",Canada,7.0
University of Ottawa,Montreal,11409,"Engineering, Business, Law",Canada,7.5
University of Manchester,Durham,17569,"Law, Biology, Engineering, Computer Science",UK,7.0
University of Adelaide,Adelaide,15863,"Law, Computer Science",Australia,6.0
UNSW,Perth,10021,"Economics, Physics, Business",Australia,6.5
RMIT University,Perth,14648,"Robotics, Economics, Physics",Australia,6.5
Queen's University,Quebec City,18069,"Physics, Business, Biology",Canada,6.0
ANU,Sydney,14177,"Robotics, Economics, Mathematics",Australia,7.5
University of Queensland,Perth,11758,"Physics, AI",Australia,7.5
UNSW,Hobart,12866,"Business, Economics",Australia,7.5
Caltech,San Francisco,13011,"Mathematics, Biology, Computer Science",USA,6.0
McGill University,Vancouver,19315,"Economics, Robotics, AI, Biology",Canada,6.0
King's College London,Cambridge,17966,"AI, Engineering, Robotics, Business",UK,8.0
University of Edinburgh,Cambridge,16256,"AI, Business, Robotics",UK,8.0
Queen's University,Calgary,12292,"Economics, Mathematics, Law",Canada,6.5
University of Sydney,Melbourne,14463,"AI, Engineering",Australia,6.5
Yale,Durham,18306,"AI, Mathematics, Robotics, Economics",USA,7.5
University of Adelaide,Melbourne,13724,"Computer Science, Physics, Business",Australia,8.0
McGill University,Ottawa,19391,"Computer Science, Mathematics, Biology, Law",Canada,8.0
Imperial College London,Glasgow,18177,"Economics, Mathematics, Law",UK,6.0
Princeton,Princeton,16768,"Mathematics, Law, Robotics, Biology",USA,8.0
Princeton,Philadelphia,17311,"Engineering, Mathematics, Law, Biology",USA,6.0
University of Bristol,Manchester,15688,"Robotics, Law, Economics",UK,6.0
Imperial College London,Leeds,17030,"Robotics, Computer Science",UK,8.0
University of Adelaide,Brisbane,17109,"Law, Economics",Australia,7.0
UNSW,Hobart,11316,"Law, Mathematics, Business, AI",Australia,6.0
UPenn,Palo Alto,19121,"Engineering, Biology",USA,6.5
Stanford,Durham,18580,"Engineering, Robotics, AI",USA,6.5
UPenn,Durham,12097,"Business, Physics",USA,8.0
University of Manchester,Oxford,12878,"Business, Law, Biology, Physics",UK,7.5
Oxford,Edinburgh,10220,"AI, Law, Biology",UK,6.0
Queen's University,Vancouver,12582,"Engineering, Physics, Mathematics, Law",Canada,8.0
Western University,Calgary,17516,"Economics, Physics, Computer Science",Canada,7.0
Oxford,London,18663,"Engineering, Business",UK,7.5
UBC,Quebec City,15218,"Mathematics, Business, Economics, AI",Canada,6.0
Imperial College London,Glasgow,13252,"Mathematics, Biology, Engineering",UK,6.0
University of Western Australia,Adelaide,16622,"AI, Physics",Australia,6.5
ANU,Melbourne,13456,"Law, Physics, Economics",Australia,7.0
Caltech,Boston,18517,"Law, Robotics, Engineering, Business",USA,7.5
University of Bristol,Glasgow,14464,"Law, Economics, Computer Science, Business",UK,7.5
Monash University,Wollongong,11048,"Biology, Robotics",Australia,7.5
Princeton,Palo Alto,11051,"AI, Physics",USA,7.0
University of Glasgow,Manchester,12168,"AI, Biology, Economics",UK,7.0
University of Chicago,San Francisco,10306,"Mathematics, Law",USA,6.0
UBC,Quebec City,10457,"Robotics, Biology, Mathematics",Canada,7.5
Harvard,Princeton,19941,"Biology, Mathematics, Robotics, AI",USA,6.5
Stanford,Philadelphia,16248,"Law, Engineering, Economics",USA,7.5
Columbia,New York,18641,"AI, Engineering, Economics, Biology",USA,6.0
University of Edinburgh,Oxford,18323,"Engineering, Biology, Business",UK,6.5
Cambridge,Durham,17867,"Biology, Computer Science, Business",UK,6.5
Duke,San Francisco,19516,"Biology, Engineering, Business, Physics",USA,6.5
McGill University,Victoria,10877,"Biology, Physics, Computer Science, Robotics",Canada,8.0
University of Glasgow,Oxford,13509,"Biology, Robotics",UK,8.0
University of Melbourne,Canberra,19226,"Law, Computer Science",Australia,6.0
McGill University,Halifax,10123,"Physics, Computer Science, Business",Canada,7.0
Western University,Montreal,14641,"Biology, Law, Robotics",Canada,6.5
King's College London,Glasgow,11314,"Business, Robotics, Economics, Biology",UK,7.5
University of Ottawa,Calgary,14027,"Physics, Business, Mathematics",Canada,6.0
University of Sydney,Brisbane,14328,"Mathematics, AI, Business",Australia,8.0
Queen's University,Winnipeg,19988,"Computer Science, Biology",Canada,7.0
Durham University,Manchester,13146,"Mathematics, Computer Science, Biology, AI",UK,6.5
UBC,Calgary,15236,"Economics, Business, Physics, Robotics",Canada,6.5
University of Queensland,Wollongong,13556,"Biology, Computer Science, Robotics",Australia,6.0
Princeton,New York,13625,"Engineering, Law, Computer Science",USA,7.5
University of Western Australia,Brisbane,18632,"Business, Computer Science",Australia,8.0
University of Ottawa,Toronto,16333,"Law, AI",Canada,7.5
LSE,Durham,15448,"Computer Science, Business, Robotics, AI",UK,6.5
University of Edinburgh,Oxford,19299,"Robotics, Physics, AI",UK,8.0
UPenn,Palo Alto,19170,"Engineering, Robotics, Business",USA,7.5
University of Chicago,New York,15678,"Business, Physics, Robotics",USA,8.0
University of Glasgow,Oxford,18184,"Business, Law, Computer Science, Engineering",UK,7.0
UBC,Victoria,13329,"Physics, Biology, Mathematics, AI",Canada,8.0
UBC,Quebec City,12303,"Robotics, Biology",Canada,7.5
Western University,Calgary,19802,"Business, Economics, Robotics, Computer Science",Canada,6.0
University of Ottawa,Toronto,19941,"Law, Robotics, Biology, AI",Canada,6.5
University of Alberta,Quebec City,10150,"Biology, AI, Computer Science, Mathematics",Canada,8.0
University of Manchester,Glasgow,16264,"Physics, Economics",UK,8.0
Columbia,Chicago,11994,"Law, Economics",USA,7.0
Cambridge,Leeds,18505,"Computer Science, Biology, Engineering, AI",UK,8.0
MIT,Philadelphia,15781,"AI, Engineering",USA,7.5
UBC,Quebec City,18671,"Mathematics, Business",Canada,6.5
Western University,Quebec City,15464,"Engineering, Physics, Biology, Mathematics",Canada,7.0
University of Western Australia,Hobart,10651,"Economics, Physics, Computer Science",Australia,8.0
UPenn,Boston,11972,"Biology, Business",USA,6.5
Caltech,Cambridge,14320,"Law, Physics, Robotics, Engineering",USA,7.0
McGill University,Winnipeg,15334,"Robotics, Mathematics",Canada,7.0
University of Queensland,Brisbane,10562,"Computer Science, Physics, Robotics, Law",Australia,7.0
Monash University,Hobart,10917,"Business, AI",Australia,7.0
Cambridge,Bristol,12430,"AI, Business, Computer Science",UK,7.5
Harvard,Chicago,12123,"Robotics, Business, Economics",USA,8.0
Western University,Calgary,12152,"Business, Law, Mathematics",Canada,7.0
Cambridge,Oxford,12458,"Economics, Business",UK,6.0
Columbia,Cambridge,10002,"Engineering, Physics, Biology, AI",USA,7.0
University of Alberta,Halifax,18573,"Law, Business, Economics",Canada,7.0
Yale,Durham,13321,"Computer Science, Law, Physics",USA,7.5
Columbia,Chicago,13312,"Mathematics, Law, AI",USA,8.0
University of Chicago,Palo Alto,18360,"Physics, Business",USA,6.5
Oxford,Leeds,15579,"Computer Science, Robotics, Physics, Business",UK,6.0
University of Technology Sydney,Wollongong,14130,"Computer Science, Law, AI",Australia,7.0
Monash University,Melbourne,15232,"Business, Robotics",Australia,7.0
Caltech,Philadelphia,15342,"AI, Business, Mathematics, Physics",USA,8.0
University of Technology Sydney,Canberra,11322,"Engineering, AI",Australia,6.5
Columbia,Cambridge,16850,"Law, Economics, Robotics",USA,7.5
Western University,Halifax,14475,"Economics, Physics",Canada,6.5
University of Melbourne,Wollongong,17600,"AI, Engineering, Biology",Australia,7.5
Imperial College London,Edinburgh,15471,"Engineering, AI, Mathematics, Economics",UK,6.0
University of Alberta,Victoria,13494,"Biology, Law, AI",Canada,8.0
Caltech,Palo Alto,10738,"Economics, Mathematics",USA,6.5
University of Queensland,Canberra,10245,"Economics, Computer Science, Mathematics",Australia,7.0
University of Sydney,Melbourne,19037,"Business, Physics, Mathematics, Engineering",Australia,6.0
University of Alberta,Victoria,12581,"Law, Computer Science, Engineering",Canada,8.0
University of Manchester,Edinburgh,11889,"Mathematics, Physics",UK,7.0
Western University,Quebec City,19188,"Economics, Business, Computer Science, Law",Canada,6.0
University of Chicago,Cambridge,18827,"Computer Science, Physics",USA,7.0
Imperial College London,Liverpool,19446,"Physics, Business, Engineering",UK,6.0
University of Melbourne,Wollongong,14098,"Robotics, Computer Science, Biology, Mathematics",Australia,6.0
University of Ottawa,Toronto,13458,"Business, Computer Science",Canada,7.0
University of Waterloo,Halifax,12331,"Computer Science, Physics",Canada,6.0
ANU,Sydney,16978,"Business, Engineering, Economics",Australia,7.0
Durham University,Bristol,15629,"Law, Biology, Computer Science",UK,7.0
University of Edinburgh,Leeds,16531,"Mathematics, Law",UK,8.0
University of Sydney,Wollongong,16461,"Physics, Biology",Australia,6.0
Durham University,Manchester,19438,"Mathematics, AI, Computer Science, Physics",UK,7.0
University of Alberta,Ottawa,13675,"Business, Biology, Mathematics",Canada,6.0
Durham University,Oxford,14835,"Robotics, Computer Science",UK,6.0
Columbia,Cambridge,15317,"Biology, Engineering",USA,8.0
RMIT University,Brisbane,16485,"Computer Science, Robotics, Engineering",Australia,6.5
MIT,Philadelphia,15698,"Biology, Robotics",USA,8.0
Oxford,Liverpool,15025,"Biology, Computer Science, Robotics, AI",UK,7.5
University of Alberta,Calgary,10896,"Mathematics, Computer Science, Biology, Physics",Canada,7.5
Monash University,Perth,17584,"Computer Science, Robotics, Mathematics",Australia,6.0
University of Bristol,Oxford,16547,"Law, Economics, Mathematics, AI",UK,6.0
University of Queensland,Hobart,16555,"Robotics, AI, Biology",Australia,7.5
University of Manchester,London,13350,"Engineering, Computer Science, Business, Mathematics",UK,7.5
University of Melbourne,Gold Coast,12493,"Mathematics, Business, Physics, Economics",Australia,6.0
University of Bristol,Durham,17222,"Physics, Computer Science, Business, Mathematics",UK,8.0
Yale,San Francisco,10077,"Physics, Biology, Law",USA,6.5
RMIT University,Brisbane,10792,"Physics, Mathematics, AI",Australia,7.5
Harvard,Durham,18129,"Robotics, AI, Biology, Computer Science",USA,7.5
University of Bristol,Manchester,18275,"Engineering, Physics, AI",UK,7.0
UNSW,Canberra,10045,"Business, Mathematics, Robotics",Australia,7.5
LSE,Glasgow,12184,"Biology, Business, Law",UK,6.5
Monash University,Perth,13464,"Biology, Computer Science",Australia,6.0
Oxford,Liverpool,19326,"Law, Engineering",UK,7.5
University of Waterloo,Edmonton,16091,"Business, AI",Canada,6.0
Caltech,Princeton,12906,"Robotics, Computer Science, Law, AI",USA,7.5
RMIT University,Sydney,16343,"Biology, Robotics, Engineering, AI",Australia,8.0
Imperial College London,London,10107,"Computer Science, AI",UK,7.5
UNSW,Brisbane,17128,"AI, Law, Computer Science, Economics",Australia,7.0
UBC,Calgary,16191,"Physics, Economics, Mathematics",Canada,6.0
RMIT University,Darwin,19866,"Computer Science, Engineering",Australia,8.0
University of Adelaide,Darwin,16422,"Computer Science, Business",Australia,6.0
MIT,Palo Alto,17087,"Biology, Computer Science, Economics",USA,7.5
McGill University,Victoria,17164,"Computer Science, Biology",Canada,7.0
Princeton,Philadelphia,18273,"Robotics, Law, Computer Science",USA,6.0
Durham University,Glasgow,12482,"Computer Science, Biology, AI, Robotics",UK,7.5
Cambridge,Manchester,13235,"Business, Biology",UK,6.0
ANU,Canberra,14904,"Computer Science, Economics, Mathematics",Australia,7.5
York University,Quebec City,16926,"Computer Science, Mathematics, Robotics, AI",Canada,7.0
University of Sydney,Brisbane,16309,"Robotics, Physics, Economics",Australia,6.0
Imperial College London,Edinburgh,10666,"Law, Biology, Robotics, Physics",UK,6.0
UPenn,Los Angeles,19270,"Business, Physics, Engineering, AI",USA,6.0
Harvard,Palo Alto,16457,"Law, Robotics, Computer Science",USA,6.0
University of Technology Sydney,Brisbane,16318,"Physics, Robotics, Engineering, AI",Australia,7.5
Stanford,New York,15710,"Business, Computer Science, Mathematics",USA,7.0
University of Western Australia,Sydney,13604,"AI, Physics, Biology",Australia,6.5
Queen's University,Victoria,13138,"Economics, AI",Canada,7.0
University of Sydney,Melbourne,11488,"AI, Biology, Physics",Australia,6.5
University of Melbourne,Hobart,15364,"Robotics, Physics, Business, AI",Australia,6.5
Stanford,Princeton,18631,"Economics, Physics, Law, AI",USA,7.0
Stanford,Palo Alto,16194,"Physics, Mathematics",USA,7.0
Princeton,Durham,19013,"Economics, Engineering, Mathematics, Business",USA,6.5
University of Alberta,Edmonton,16434,"Mathematics, AI, Physics, Business",Canada,8.0
University of Technology Sydney,Gold Coast,16872,"AI, Physics, Robotics, Biology",Australia,6.0
York University,Vancouver,13021,"Law, AI, Biology, Engineering",Canada,7.0
University of Chicago,San Francisco,14870,"Biology, AI, Physics",USA,8.0
University of Manchester,Bristol,10350,"Robotics, Business",UK,6.0
University of Sydney,Gold Coast,11487,"Computer Science, AI, Economics, Robotics",Australia,6.0
LSE,Oxford,15370,"Biology, Physics, Robotics, AI",UK,8.0
McGill University,Toronto,13065,"Biology, Physics, Mathematics, Engineering",Canada,7.0
Yale,San Francisco,10112,"Computer Science, Physics",USA,7.0
University of Melbourne,Wollongong,16944,"Computer Science, Law",Australia,6.0
University of Technology Sydney,Sydney,12741,"Mathematics, Engineering",Australia,8.0
University of Alberta,Quebec City,12146,"AI, Business",Canada,6.5
Columbia,Princeton,15562,"Robotics, Biology",USA,7.0
Yale,Chicago,16622,"Engineering, Business, Mathematics, Biology",USA,7.0
McGill University,Vancouver,13509,"Business, Economics, Biology, AI",Canada,6.5
University of Glasgow,Glasgow,13349,"Robotics, Economics, Law",UK,6.0
University of Manchester,Bristol,16318,"Engineering, AI, Business",UK,7.0
Columbia,Cambridge,14791,"AI, Engineering",USA,6.5
Durham University,Durham,14710,"Law, Physics, Engineering",UK,7.5
ANU,Hobart,18194,"Law, Engineering, Computer Science, Business",Australia,6.0
Monash University,Hobart,13043,"Law, AI, Computer Science",Australia,6.0
University of Alberta,Halifax,10964,"Economics, Computer Science, Biology",Canada,7.0
University of Technology Sydney,Wollongong,18694,"Computer Science, Biology",Australia,8.0
University of Alberta,Quebec City,10361,"Computer Science, AI, Biology, Physics",Canada,8.0
Imperial College London,Liverpool,12344,"Biology, Engineering",UK,6.0
Duke,Los Angeles,10987,"Computer Science, Business, Economics",USA,7.5
King's College London,Cambridge,18415,"Economics, Engineering, Mathematics",UK,6.0
University of Waterloo,Winnipeg,11476,"Physics, Mathematics, Economics",Canada,7.5
Durham University,Oxford,13075,"Physics, AI, Engineering, Biology",UK,6.5
University of Manchester,Manchester,18558,"Law, Computer Science, Robotics, Business",UK,7.5
Columbia,Philadelphia,11130,"Law, Physics, AI",USA,8.0
Imperial College London,Manchester,19404,"Robotics, Mathematics",UK,6.0
Princeton,Los Angeles,15347,"Computer Science, AI, Robotics",USA,7.0
RMIT University,Canberra,13052,"AI, Business, Mathematics, Engineering",Australia,7.5
University of Toronto,Toronto,13644,"Business, Physics",Canada,7.0
University of Glasgow,Bristol,14480,"Law, Physics, Biology, Robotics",UK,7.5
University of Adelaide,Canberra,17944,"Physics, Biology, Computer Science, AI",Australia,6.5
University of Western Australia,Gold Coast,18956,"Economics, Business",Australia,6.0
Durham University,Bristol,19340,"Physics, Computer Science, Engineering",UK,8.0
Monash University,Sydney,14599,"Law, Physics, Engineering",Australia,7.5
University of Alberta,Quebec City,16640,"Engineering, Physics, Law",Canada,7.0
Harvard,New York,11377,"Law, Robotics",USA,6.5
University of Adelaide,Gold Coast,10782,"Engineering, Economics, Physics",Australia,6.5
University of Western Australia,Wollongong,16623,"Robotics, Economics",Australia,8.0
Western University,Vancouver,16870,"Mathematics, Biology, AI",Canada,6.0
Oxford,Liverpool,15580,"Law, Economics, Robotics",UK,7.0
University of Alberta,Ottawa,12792,"Physics, Biology, Robotics",Canada,7.5
LSE,Glasgow,14744,"Computer Science, Law",UK,8.0
University of Toronto,Calgary,12125,"Engineering, Physics, AI, Computer Science",Canada,8.0
ANU,Hobart,19670,"Robotics, Economics",Australia,7.0
MIT,Palo Alto,19776,"Mathematics, Biology, AI, Economics",USA,8.0
Western University,Edmonton,18654,"Physics, Law, Engineering, Robotics",Canada,7.5
University of Western Australia,Darwin,11711,"Economics, Physics",Australia,7.5
RMIT University,Brisbane,15022,"Law, Economics",Australia,7.5
RMIT University,Darwin,10969,"Robotics, Economics, Computer Science",Australia,7.0
McMaster University,Quebec City,17016,"Engineering, Robotics",Canada,7.0
University of Waterloo,Toronto,15530,"Business, Computer Science, Biology, Robotics",Canada,8.0
Columbia,San Francisco,17887,"Biology, Business, Mathematics",USA,8.0
University of Manchester,Liverpool,14135,"Physics, Computer Science",UK,6.0
Stanford,San Francisco,13960,"Law, Biology",USA,8.0
LSE,Liverpool,18050,"Computer Science, Physics, Business, Biology",UK,7.0
University of Manchester,Durham,18376,"Business, Physics, Biology",UK,8.0
McMaster University,Edmonton,14380,"Economics, Business, Law",Canada,6.0
UBC,Victoria,14075,"Economics, AI, Physics, Biology",Canada,6.0
Columbia,San Francisco,12870,"Engineering, Biology, Economics",USA,6.0
RMIT University,Adelaide,17466,"Mathematics, Robotics",Australia,8.0
University of Melbourne,Wollongong,11667,"Computer Science, Robotics, Law, Physics",Australia,6.5
Monash University,Wollongong,11623,"Physics, Economics",Australia,7.0
University of Queensland,Melbourne,16678,"Computer Science, Law, Physics",Australia,6.5
King's College London,Leeds,19635,"Economics, Mathematics, AI, Law",UK,6.0
University of Melbourne,Perth,11767,"Physics, Law, Engineering",Australia,6.0
University of Waterloo,Edmonton,15600,"Law, Robotics",Canada,6.0
Durham University,Edinburgh,15000,"Robotics, Biology, Law",UK,7.0
University of Technology Sydney,Hobart,12800,"Economics, AI, Physics, Computer Science",Australia,6.0
Princeton,Chicago,10385,"Computer Science, Mathematics, Biology",USA,6.5
Stanford,New York,15286,"Engineering, Robotics",USA,7.0
Columbia,Philadelphia,14859,"Computer Science, Economics, Law, AI",USA,8.0
University of Edinburgh,Liverpool,17165,"Law, Physics, Economics",UK,7.5
Oxford,Cambridge,12204,"Mathematics, AI, Computer Science, Robotics",UK,6.5
Duke,Durham,12039,"Business, Computer Science, Engineering, Biology",USA,6.0
University of Edinburgh,Durham,11201,"Economics, Business, Biology",UK,6.5
University of Toronto,Halifax,19294,"Robotics, Business, Computer Science, Engineering",Canada,6.0
Queen's University,Ottawa,12474,"Economics, Computer Science, Biology",Canada,7.5
Stanford,Boston,13687,"Law, Mathematics, Business, Biology",USA,7.0
University of Manchester,Bristol,16178,"AI, Biology, Law, Computer Science",UK,6.5
University of Waterloo,Winnipeg,11574,"Computer Science, Engineering",Canada,6.0
Western University,Quebec City,16596,"Robotics, Business, Computer Science",Canada,7.0
University of Melbourne,Canberra,10038,"Engineering, Business, Physics, Computer Science",Australia,6.0
University of Sydney,Adelaide,15651,"Mathematics, Law, Business",Australia,6.5
University of Toronto,Halifax,16048,"Robotics, Mathematics",Canada,7.0
Cambridge,Cambridge,13292,"Economics, Engineering, Computer Science, Physics",UK,6.0
Cambridge,Leeds,11377,"Physics, Robotics",UK,7.5
University of Chicago,Cambridge,16436,"AI, Business, Engineering, Physics",USA,6.5
Columbia,Palo Alto,13977,"Physics, Economics, Business, Engineering",USA,6.0
Imperial College London,Cambridge,16347,"Robotics, Mathematics",UK,6.0
University of Queensland,Wollongong,19488,"Biology, AI, Physics",Australia,7.5
University of Sydney,Adelaide,18327,"Economics, Biology, Engineering, Mathematics",Australia,6.5
Duke,Palo Alto,19768,"AI, Engineering",USA,6.5
Harvard,Los Angeles,19705,"Biology, Robotics",USA,8.0
Caltech,Cambridge,18317,"Economics, Engineering, Biology",USA,8.0
University of Bristol,Cambridge,15377,"Computer Science, Mathematics, Physics, Business",UK,7.0
Yale,Los Angeles,10107,"Mathematics, Business, Biology",USA,7.5
McMaster University,Calgary,18796,"AI, Business, Economics",Canada,6.5
Stanford,Cambridge,19047,"Law, Robotics, Business, Physics",USA,6.5
Cambridge,Cambridge,16343,"Business, AI, Engineering, Computer Science",UK,6.0
UNSW,Sydney,12207,"Economics, Robotics",Australia,8.0
King's College London,Oxford,11603,"Engineering, Computer Science, AI, Law",UK,7.0
Harvard,Los Angeles,13362,"Robotics, Computer Science, Engineering",USA,8.0
University of Western Australia,Melbourne,18468,"Physics, Law, Engineering, Economics",Australia,8.0
Duke,Philadelphia,16348,"Business, Physics, Computer Science, Engineering",USA,7.5
University of Ottawa,Quebec City,10372,"Physics, Business, Biology",Canada,7.0
Harvard,Durham,12827,"Computer Science, AI",USA,8.0
Stanford,San Francisco,17519,"Computer Science, Biology, Economics",USA,8.0
Imperial College London,Glasgow,10442,"Biology, Mathematics, Computer Science",UK,8.0
Caltech,Princeton,19592,"Business, Robotics",USA,6.5
LSE,Edinburgh,11329,"Robotics, Physics, Economics, Business",UK,7.0
McGill University,Calgary,13163,"Physics, Biology",Canada,8.0
RMIT University,Wollongong,19816,"Law, AI",Australia,7.5
Duke,Princeton,11835,"Physics, Economics, Engineering, AI",USA,6.0
University of Sydney,Melbourne,18037,"Economics, Engineering, Biology, Robotics",Australia,6.5
Yale,Los Angeles,13468,"AI, Economics, Mathematics, Business",USA,7.5
York University,Calgary,16390,"Physics, Business",Canada,7.5
University of Chicago,Palo Alto,13192,"Physics, AI, Computer Science, Mathematics",USA,6.0
Stanford,Los Angeles,17487,"Physics, Computer Science",USA,7.0
Oxford,Bristol,19358,"Mathematics, Physics",UK,6.0
Monash University,Sydney,19642,"AI, Computer Science, Engineering",Australia,6.0
Imperial College London,Glasgow,12831,"Business, Robotics",UK,7.5
Monash University,Sydney,12815,"Physics, Computer Science",Australia,6.0
UNSW,Canberra,13798,"Business, Economics, Biology",Australia,7.5
University of Bristol,London,13610,"Law, Business, Economics",UK,7.0
University of Sydney,Brisbane,16500,"Robotics, Engineering",Australia,6.0
York University,Winnipeg,18359,"Engineering, AI, Robotics, Economics",Canada,8.0
RMIT University,Hobart,19155,"Biology, Physics, Law, Economics",Australia,6.0
Cambridge,Durham,10199,"Physics, Economics, AI",UK,8.0
University of Alberta,Winnipeg,10969,"Business, Economics",Canada,6.0
University of Queensland,Melbourne,11502,"Engineering, Robotics, Computer Science, AI",Australia,6.0
University of Edinburgh,Manchester,17367,"Mathematics, Physics, Robotics, AI",UK,7.5
Queen's University,Edmonton,18048,"Physics, Economics",Canada,7.0
RMIT University,Melbourne,15826,"Robotics, Business",Australia,7.0
UNSW,Gold Coast,19308,"Physics, Engineering",Australia,6.5
University of Glasgow,Edinburgh,15873,"Economics, Physics, Mathematics",UK,8.0
University of Manchester,Liverpool,10978,"Economics, AI",UK,7.0
University of Technology Sydney,Brisbane,18029,"Business, Mathematics, Engineering",Australia,6.5
Duke,Palo Alto,18627,"Computer Science, Engineering, Biology",USA,7.0
University of Western Australia,Melbourne,14730,"Economics, Computer Science",Australia,7.0
UBC,Edmonton,10318,"Physics, AI, Business",Canada,7.5
Caltech,New York,18219,"Biology, Economics, Physics",USA,6.5
Queen's University,Quebec City,19653,"Mathematics, Biology, Business, AI",Canada,8.0
Oxford,Bristol,10335,"Engineering, Physics, Robotics, Mathematics",UK,6.0
University of Sydney,Gold Coast,19169,"Robotics, Mathematics, AI",Australia,7.0
Imperial College London,Manchester,14248,"Business, Engineering, Law",UK,6.5
University of Adelaide,Melbourne,11460,"Physics, Business",Australia,7.5
Queen's University,Winnipeg,19755,"Economics, Computer Science, AI, Business",Canada,6.5
Cambridge,Oxford,14293,"Engineering, Computer Science",UK,7.5
Cambridge,London,11114,"Computer Science, Business, Economics, Engineering",UK,7.0
University of Bristol,Manchester,12380,"Mathematics, AI, Physics, Robotics",UK,6.5
Caltech,Los Angeles,12158,"Economics, Computer Science, Engineering",USA,6.5
UBC,Edmonton,13736,"Law, Computer Science, Engineering, AI",Canada,7.0
MIT,Palo Alto,10462,"Engineering, AI",USA,7.0
Imperial College London,Glasgow,10010,"Physics, Robotics",UK,6.0
